Trial 3:3back,Trial 5:3back
31.262,33.173
31.224,33.131
31.187,33.089
31.152,33.048
31.121,33.008
31.094,32.969
31.07,32.932
31.05,32.898
31.033,32.865
31.017,32.835
31.002,32.806
30.988,32.779
30.972,32.753
30.955,32.726
30.936,32.697
30.914,32.667
30.889,32.634
30.859,32.599
30.827,32.561
30.792,32.521
30.756,32.479
30.72,32.436
30.686,32.392
30.653,32.349
30.624,32.308
30.598,32.269
30.575,32.233
30.556,32.201
30.539,32.173
30.523,32.149
30.507,32.13
30.49,32.117
30.471,32.11
30.45,32.111
30.426,32.12
30.402,32.139
30.379,32.169
30.36,32.211
30.349,32.269
30.351,32.346
30.371,32.444
30.416,32.568
30.492,32.72
30.606,32.905
30.76,33.123
30.96,33.378
31.208,33.668
31.506,33.995
31.852,34.354
32.244,34.742
32.68,35.156
33.153,35.589
33.659,36.038
34.191,36.497
34.74,36.96
35.299,37.422
35.863,37.878
36.423,38.323
36.975,38.751
37.514,39.16
38.036,39.545
38.538,39.903
39.016,40.233
39.466,40.533
39.885,40.801
40.271,41.037
40.621,41.24
40.934,41.41
41.211,41.548
41.449,41.655
41.651,41.734
41.816,41.785
41.947,41.813
42.046,41.818
42.116,41.803
42.161,41.771
42.183,41.725
42.186,41.666
42.174,41.596
42.15,41.517
42.114,41.432
42.069,41.342
42.016,41.25
41.955,41.154
41.886,41.056
41.809,40.957
41.726,40.856
41.636,40.754
41.539,40.65
41.438,40.542
41.334,40.431
41.226,40.316
41.118,40.197
41.008,40.073
40.899,39.945
40.789,39.815
40.679,39.683
40.569,39.549
40.46,39.414
40.349,39.277
40.238,39.138
40.124,38.998
40.007,38.856
39.887,38.714
39.763,38.573
39.635,38.435
39.504,38.301
39.371,38.173
39.237,38.052
39.103,37.939
38.968,37.834
38.834,37.738
38.7,37.651
38.568,37.573
38.437,37.503
38.306,37.441
38.175,37.388
38.043,37.341
37.911,37.3
37.781,37.265
37.652,37.235
37.527,37.209
37.407,37.186
37.294,37.167
37.188,37.15
37.092,37.135
37.003,37.12
36.923,37.105
36.849,37.088
36.779,37.07
36.712,37.048
36.647,37.025
36.584,37
36.522,36.973
36.461,36.945
36.401,36.916
36.342,36.886
36.285,36.855
36.23,36.823
36.176,36.789
36.123,36.754
36.072,36.717
36.02,36.678
35.969,36.637
35.918,36.591
35.867,36.542
35.816,36.487
35.765,36.426
35.714,36.36
35.661,36.29
35.607,36.215
35.551,36.138
35.492,36.058
35.429,35.978
35.363,35.898
35.292,35.819
35.218,35.74
35.141,35.661
35.06,35.582
34.977,35.502
34.893,35.419
34.806,35.335
34.718,35.249
34.631,35.16
34.543,35.07
34.457,34.979
34.371,34.887
34.287,34.795
34.204,34.703
34.121,34.613
34.039,34.525
33.957,34.439
33.874,34.357
33.791,34.278
33.707,34.203
33.621,34.132
33.534,34.065
33.447,34.002
33.36,33.941
33.276,33.882
33.193,33.824
33.115,33.766
33.039,33.709
32.968,33.652
32.899,33.596
32.834,33.541
32.769,33.487
32.705,33.436
32.641,33.387
32.576,33.34
32.51,33.297
32.442,33.258
32.371,33.221
32.298,33.187
32.223,33.155
32.145,33.124
32.066,33.096
31.988,33.07
31.912,33.045
31.84,33.022
31.772,32.998
31.708,32.975
31.649,32.951
31.594,32.925
31.543,32.897
31.496,32.868
31.453,32.837
31.411,32.804
31.372,32.769
31.332,32.733
31.291,32.694
31.248,32.654
31.202,32.613
31.153,32.57
31.101,32.527
31.048,32.483
30.995,32.44
30.942,32.396
30.892,32.353
30.845,32.312
30.801,32.275
30.76,32.243
30.722,32.218
30.688,32.203
30.658,32.199
30.629,32.211
30.601,32.241
30.574,32.291
30.547,32.367
30.519,32.47
30.489,32.605
30.458,32.773
